Environment,Control,Episode,Reward
LunarLanderContinuous-v2,none,151,-172
LunarLanderContinuous-v2,none,152,-141
LunarLanderContinuous-v2,none,153,-138
LunarLanderContinuous-v2,none,154,-145
LunarLanderContinuous-v2,none,155,-229
LunarLanderContinuous-v2,none,156,-146
LunarLanderContinuous-v2,none,157,-169
LunarLanderContinuous-v2,none,158,-159
LunarLanderContinuous-v2,none,159,-176
LunarLanderContinuous-v2,none,160,-178
LunarLanderContinuous-v2,none,161,-147
LunarLanderContinuous-v2,none,162,-107
LunarLanderContinuous-v2,none,163,-102
LunarLanderContinuous-v2,none,164,-136
LunarLanderContinuous-v2,none,165,-157
LunarLanderContinuous-v2,none,166,-76
LunarLanderContinuous-v2,none,167,-147
LunarLanderContinuous-v2,none,168,-103
LunarLanderContinuous-v2,none,169,-134
LunarLanderContinuous-v2,none,170,-57
LunarLanderContinuous-v2,none,171,-92
LunarLanderContinuous-v2,none,172,-1653
LunarLanderContinuous-v2,none,173,-1082
LunarLanderContinuous-v2,none,174,-133
LunarLanderContinuous-v2,none,175,-176
LunarLanderContinuous-v2,none,176,-162
LunarLanderContinuous-v2,none,177,-175
LunarLanderContinuous-v2,none,178,-81
LunarLanderContinuous-v2,none,179,-283
LunarLanderContinuous-v2,none,180,-142
LunarLanderContinuous-v2,none,181,-97
LunarLanderContinuous-v2,none,182,-419
LunarLanderContinuous-v2,none,183,-434
LunarLanderContinuous-v2,none,184,-491
LunarLanderContinuous-v2,none,185,-323
LunarLanderContinuous-v2,none,186,-573
LunarLanderContinuous-v2,none,187,-421
LunarLanderContinuous-v2,none,188,-385
LunarLanderContinuous-v2,none,189,-661
LunarLanderContinuous-v2,none,190,-360
LunarLanderContinuous-v2,none,191,-252
LunarLanderContinuous-v2,none,192,-486
LunarLanderContinuous-v2,none,193,-568
LunarLanderContinuous-v2,none,194,-289
LunarLanderContinuous-v2,none,195,-300
LunarLanderContinuous-v2,none,196,-282
LunarLanderContinuous-v2,none,197,-369
LunarLanderContinuous-v2,none,198,-344
LunarLanderContinuous-v2,none,199,-297
LunarLanderContinuous-v2,none,0,-314
LunarLanderContinuous-v2,none,1,-202
LunarLanderContinuous-v2,none,2,-195
LunarLanderContinuous-v2,none,3,-163
LunarLanderContinuous-v2,none,4,-783
LunarLanderContinuous-v2,none,5,-372
LunarLanderContinuous-v2,none,6,-1467
LunarLanderContinuous-v2,none,7,-774
LunarLanderContinuous-v2,none,8,-925
LunarLanderContinuous-v2,none,9,-805
LunarLanderContinuous-v2,none,10,-665
LunarLanderContinuous-v2,none,11,-503
LunarLanderContinuous-v2,none,12,-321
LunarLanderContinuous-v2,none,13,-47
LunarLanderContinuous-v2,none,14,-1359
LunarLanderContinuous-v2,none,15,-747
LunarLanderContinuous-v2,none,16,-1049
LunarLanderContinuous-v2,none,17,-1289
LunarLanderContinuous-v2,none,18,-890
LunarLanderContinuous-v2,none,19,-1760
LunarLanderContinuous-v2,none,20,-904
LunarLanderContinuous-v2,none,21,-1404
LunarLanderContinuous-v2,none,22,-1096
LunarLanderContinuous-v2,none,23,-794
LunarLanderContinuous-v2,none,24,-1750
LunarLanderContinuous-v2,none,25,-1085
LunarLanderContinuous-v2,none,26,-817
LunarLanderContinuous-v2,none,27,-776
LunarLanderContinuous-v2,none,28,-1800
LunarLanderContinuous-v2,none,29,-845
LunarLanderContinuous-v2,none,30,-1014
LunarLanderContinuous-v2,none,31,-706
LunarLanderContinuous-v2,none,32,-821
LunarLanderContinuous-v2,none,33,-1307
LunarLanderContinuous-v2,none,34,-890
LunarLanderContinuous-v2,none,35,-930
LunarLanderContinuous-v2,none,36,-2022
LunarLanderContinuous-v2,none,37,-1388
LunarLanderContinuous-v2,none,38,-1445
LunarLanderContinuous-v2,none,39,-1544
LunarLanderContinuous-v2,none,40,-657
LunarLanderContinuous-v2,none,41,-668
LunarLanderContinuous-v2,none,42,-817
LunarLanderContinuous-v2,none,43,-705
LunarLanderContinuous-v2,none,44,-961
LunarLanderContinuous-v2,none,45,-443
LunarLanderContinuous-v2,none,46,-240
LunarLanderContinuous-v2,none,47,-538
LunarLanderContinuous-v2,none,48,-976
LunarLanderContinuous-v2,none,49,-852
LunarLanderContinuous-v2,none,50,-853
LunarLanderContinuous-v2,none,51,-656
LunarLanderContinuous-v2,none,52,-573
LunarLanderContinuous-v2,none,53,-658
LunarLanderContinuous-v2,none,54,-596
LunarLanderContinuous-v2,none,55,-671
LunarLanderContinuous-v2,none,56,-520
LunarLanderContinuous-v2,none,57,-464
LunarLanderContinuous-v2,none,58,-405
LunarLanderContinuous-v2,none,59,-640
LunarLanderContinuous-v2,none,60,-594
LunarLanderContinuous-v2,none,61,-439
LunarLanderContinuous-v2,none,62,-430
LunarLanderContinuous-v2,none,63,-253
LunarLanderContinuous-v2,none,64,-261
LunarLanderContinuous-v2,none,65,-360
LunarLanderContinuous-v2,none,66,-422
LunarLanderContinuous-v2,none,67,-533
LunarLanderContinuous-v2,none,68,-683
LunarLanderContinuous-v2,none,69,-1122
LunarLanderContinuous-v2,none,70,-820
LunarLanderContinuous-v2,none,71,-1123
LunarLanderContinuous-v2,none,72,-432
LunarLanderContinuous-v2,none,73,-878
LunarLanderContinuous-v2,none,74,-494
LunarLanderContinuous-v2,none,75,-766
LunarLanderContinuous-v2,none,76,-868
LunarLanderContinuous-v2,none,77,-1041
LunarLanderContinuous-v2,none,78,-612
LunarLanderContinuous-v2,none,79,-759
LunarLanderContinuous-v2,none,80,-515
LunarLanderContinuous-v2,none,81,-820
LunarLanderContinuous-v2,none,82,-696
LunarLanderContinuous-v2,none,83,-1364
LunarLanderContinuous-v2,none,84,-1271
LunarLanderContinuous-v2,none,85,-1688
LunarLanderContinuous-v2,none,86,-413
LunarLanderContinuous-v2,none,87,-370
LunarLanderContinuous-v2,none,88,-644
LunarLanderContinuous-v2,none,89,-349
LunarLanderContinuous-v2,none,90,-727
LunarLanderContinuous-v2,none,91,-682
LunarLanderContinuous-v2,none,92,-805
