Environment,Control,Episode,Reward
LunarLanderContinuous-v2,none,93,-479
LunarLanderContinuous-v2,none,94,-500
LunarLanderContinuous-v2,none,95,-459
LunarLanderContinuous-v2,none,96,-392
LunarLanderContinuous-v2,none,97,-279
LunarLanderContinuous-v2,none,98,-79
LunarLanderContinuous-v2,none,99,-482
LunarLanderContinuous-v2,none,100,-388
LunarLanderContinuous-v2,none,101,-374
LunarLanderContinuous-v2,none,102,-249
LunarLanderContinuous-v2,none,103,-116
LunarLanderContinuous-v2,none,104,-134
LunarLanderContinuous-v2,none,105,-120
LunarLanderContinuous-v2,none,106,-85
LunarLanderContinuous-v2,none,107,-123
LunarLanderContinuous-v2,none,108,-74
LunarLanderContinuous-v2,none,109,-101
LunarLanderContinuous-v2,none,110,-135
LunarLanderContinuous-v2,none,111,-136
LunarLanderContinuous-v2,none,112,240
LunarLanderContinuous-v2,none,113,-246
LunarLanderContinuous-v2,none,114,-134
LunarLanderContinuous-v2,none,115,-220
LunarLanderContinuous-v2,none,116,-195
LunarLanderContinuous-v2,none,117,-138
LunarLanderContinuous-v2,none,118,-125
LunarLanderContinuous-v2,none,119,-82
LunarLanderContinuous-v2,none,120,-107
LunarLanderContinuous-v2,none,121,-155
LunarLanderContinuous-v2,none,122,-253
LunarLanderContinuous-v2,none,123,-327
LunarLanderContinuous-v2,none,124,-221
LunarLanderContinuous-v2,none,125,-318
LunarLanderContinuous-v2,none,126,-403
LunarLanderContinuous-v2,none,127,-242
LunarLanderContinuous-v2,none,128,-184
LunarLanderContinuous-v2,none,129,-411
LunarLanderContinuous-v2,none,130,-264
LunarLanderContinuous-v2,none,131,-340
LunarLanderContinuous-v2,none,132,-286
LunarLanderContinuous-v2,none,133,-262
LunarLanderContinuous-v2,none,134,-282
LunarLanderContinuous-v2,none,135,-376
LunarLanderContinuous-v2,none,136,-318
LunarLanderContinuous-v2,none,137,-223
LunarLanderContinuous-v2,none,138,-240
LunarLanderContinuous-v2,none,139,-263
LunarLanderContinuous-v2,none,140,-234
LunarLanderContinuous-v2,none,141,-331
LunarLanderContinuous-v2,none,142,-460
LunarLanderContinuous-v2,none,143,-381
LunarLanderContinuous-v2,none,144,-321
LunarLanderContinuous-v2,none,145,-250
