Environment                   Seed       Algorithm  Error  Episode  Reward  Feedback
MountainCarContinuous-v0      dw74673   DCOACH   0      0        -11     0.9209
MountainCarContinuous-v0      dw74673   DCOACH   0      1        -19     0.4785
MountainCarContinuous-v0      dw74673   DCOACH   0      2        71      0.5496
MountainCarContinuous-v0      dw74673   DCOACH   0      3        -32     0.3604
MountainCarContinuous-v0      dw74673   DCOACH   0      4        73      0.4067
MountainCarContinuous-v0      dw74673   DCOACH   0      5        -13     0.2653
MountainCarContinuous-v0      dw74673   DCOACH   0      6        -24     0.3724
MountainCarContinuous-v0      dw74673   DCOACH   0      7        54      0.3390
MountainCarContinuous-v0      dw74673   DCOACH   0      8        56      0.3634
MountainCarContinuous-v0      dw74673   DCOACH   0      9        73      0.5421
MountainCarContinuous-v0      dw74673   DCOACH   0      10       73      0.4956
MountainCarContinuous-v0      dw74673   DCOACH   0      11       87      0.6146
MountainCarContinuous-v0      dw74673   DCOACH   0      12       88      0.8036
MountainCarContinuous-v0      dw74673   DCOACH   0      13       89      0.6412
MountainCarContinuous-v0      dw74673   DCOACH   0      14       91      0.6437
MountainCarContinuous-v0      dw74673   DCOACH   0      15       92      0.6654
MountainCarContinuous-v0      dw74673   DCOACH   0      16       89      0.0102
MountainCarContinuous-v0      dw74673   DCOACH   0      17       89      0.4313
MountainCarContinuous-v0      dw74673   DCOACH   0      18       93      0.6706
MountainCarContinuous-v0      dw74673   DCOACH   0      19       96      0.6618
MountainCarContinuous-v0      dw74673   DCOACH   0      20       97      0.1767
MountainCarContinuous-v0      dw74673   DCOACH   0      21       96      0.1488
MountainCarContinuous-v0      dw74673   DCOACH   0      22       97      0.0455
MountainCarContinuous-v0      dw74673   DCOACH   0      23       96      0.1014
MountainCarContinuous-v0      dw74673   DCOACH   0      24       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      25       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      26       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      27       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      28       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      29       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      30       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      31       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      32       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      33       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      34       -5      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      35       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      36       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      37       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      38       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      39       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      40       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      41       -3      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      42       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      43       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      44       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      45       -5      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      46       -3      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      47       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      48       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      49       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      50       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      51       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      52       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      53       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      54       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      55       -5      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      56       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      57       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      58       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      59       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      60       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      61       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      62       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      63       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      64       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      65       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      66       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      67       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      68       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      69       -4      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      70       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      71       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      72       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      73       -5      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      74       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      75       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      76       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      77       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      78       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      79       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      80       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      81       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      82       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      83       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      84       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      85       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      86       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      87       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      88       -5      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      89       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      90       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      91       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      92       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      93       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      94       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      95       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      96       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      97       95      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      98       96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      99       94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      100      96      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      101      94      0.0000
MountainCarContinuous-v0      dw74673   DCOACH   0      102      95      0.0000
