Environment                   Seed       Algorithm  Error  Episode  Reward  Feedback
MountainCarContinuous-v0      dw10918    DCOACH   0      0        -3      0.5105
MountainCarContinuous-v0      dw10918    DCOACH   0      1        -4      0.4985
MountainCarContinuous-v0      dw10918    DCOACH   0      2        -7      0.5656
MountainCarContinuous-v0      dw10918    DCOACH   0      3        -5      0.3403
MountainCarContinuous-v0      dw10918    DCOACH   0      4        -5      0.2843
MountainCarContinuous-v0      dw10918    DCOACH   0      5        -5      0.8529
MountainCarContinuous-v0      dw10918    DCOACH   0      6        -5      0.8709
MountainCarContinuous-v0      dw10918    DCOACH   0      7        -12     0.8979
MountainCarContinuous-v0      dw10918    DCOACH   0      8        90      0.9526
MountainCarContinuous-v0      dw10918    DCOACH   0      9        78      0.5358
MountainCarContinuous-v0      dw10918    DCOACH   0      10       93      0.5473
MountainCarContinuous-v0      dw10918    DCOACH   0      11       -7      0.7147
MountainCarContinuous-v0      dw10918    DCOACH   0      12       81      0.6674
MountainCarContinuous-v0      dw10918    DCOACH   0      13       79      0.4354
MountainCarContinuous-v0      dw10918    DCOACH   0      14       85      0.6174
MountainCarContinuous-v0      dw10918    DCOACH   0      15       92      0.9069
MountainCarContinuous-v0      dw10918    DCOACH   0      16       93      0.6991
MountainCarContinuous-v0      dw10918    DCOACH   0      17       94      0.8571
MountainCarContinuous-v0      dw10918    DCOACH   0      18       90      0.4888
MountainCarContinuous-v0      dw10918    DCOACH   0      19       71      0.3320
MountainCarContinuous-v0      dw10918    DCOACH   0      20       84      0.4458
MountainCarContinuous-v0      dw10918    DCOACH   0      21       67      0.2527
MountainCarContinuous-v0      dw10918    DCOACH   0      22       89      0.5782
MountainCarContinuous-v0      dw10918    DCOACH   0      23       91      0.5382
MountainCarContinuous-v0      dw10918    DCOACH   0      24       92      0.6908
MountainCarContinuous-v0      dw10918    DCOACH   0      25       93      0.5000
MountainCarContinuous-v0      dw10918    DCOACH   0      26       -18     0.1041
MountainCarContinuous-v0      dw10918    DCOACH   0      27       84      0.2987
MountainCarContinuous-v0      dw10918    DCOACH   0      28       91      0.2411
MountainCarContinuous-v0      dw10918    DCOACH   0      29       86      0.4037
MountainCarContinuous-v0      dw10918    DCOACH   0      30       88      0.3792
MountainCarContinuous-v0      dw10918    DCOACH   0      31       76      0.1700
MountainCarContinuous-v0      dw10918    DCOACH   0      32       82      0.1243
MountainCarContinuous-v0      dw10918    DCOACH   0      33       83      0.1959
MountainCarContinuous-v0      dw10918    DCOACH   0      34       88      0.4331
MountainCarContinuous-v0      dw10918    DCOACH   0      35       91      0.3374
MountainCarContinuous-v0      dw10918    DCOACH   0      36       80      0.4049
MountainCarContinuous-v0      dw10918    DCOACH   0      37       88      0.3398
MountainCarContinuous-v0      dw10918    DCOACH   0      38       75      0.2780
MountainCarContinuous-v0      dw10918    DCOACH   0      39       89      0.3233
MountainCarContinuous-v0      dw10918    DCOACH   0      40       88      0.4097
MountainCarContinuous-v0      dw10918    DCOACH   0      41       94      0.4824
MountainCarContinuous-v0      dw10918    DCOACH   0      42       94      0.6683
MountainCarContinuous-v0      dw10918    DCOACH   0      43       94      0.7778
MountainCarContinuous-v0      dw10918    DCOACH   0      44       92      0.7866
MountainCarContinuous-v0      dw10918    DCOACH   0      45       94      0.6818
MountainCarContinuous-v0      dw10918    DCOACH   0      46       91      0.5115
MountainCarContinuous-v0      dw10918    DCOACH   0      47       91      0.6632
MountainCarContinuous-v0      dw10918    DCOACH   0      48       94      0.7021
MountainCarContinuous-v0      dw10918    DCOACH   0      49       95      0.9048
MountainCarContinuous-v0      dw10918    DCOACH   0      50       96      0.7794
MountainCarContinuous-v0      dw10918    DCOACH   0      51       95      0.0135
MountainCarContinuous-v0      dw10918    DCOACH   0      52       93      0.5690
MountainCarContinuous-v0      dw10918    DCOACH   0      53       96      0.0069
MountainCarContinuous-v0      dw10918    DCOACH   0      54       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      55       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      56       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      57       94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      58       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      59       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      60       94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      61       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      62       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      63       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      64       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      65       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      66       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      67       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      68       94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      69       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      70       94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      71       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      72       93      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      73       90      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      74       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      75       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      76       94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      77       92      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      78       94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      79       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      80       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      81       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      82       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      83       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      84       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      85       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      86       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      87       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      88       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      89       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      90       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      91       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      92       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      93       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      94       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      95       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      96       94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      97       96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      98       95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      99       94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      100      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      101      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      102      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      103      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      104      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      105      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      106      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      107      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      108      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      109      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      110      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      111      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      112      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      113      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      114      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      115      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      116      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      117      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      118      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      119      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      120      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      121      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      122      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      123      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      124      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      125      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      126      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      127      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      128      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      129      93      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      130      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      131      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      132      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      133      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      134      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      135      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      136      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      137      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      138      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      139      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      140      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      141      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      142      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      143      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      144      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      145      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      146      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      147      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      148      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      149      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      150      93      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      151      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      152      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      153      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      154      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      155      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      156      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      157      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      158      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      159      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      160      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      161      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      162      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      163      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      164      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      165      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      166      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      167      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      168      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      169      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      170      95      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      171      94      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      172      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      173      93      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      174      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      175      93      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      176      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      177      96      0.0000
MountainCarContinuous-v0      dw10918    DCOACH   0      178      95      0.0000
