Environment                   Seed          Algorithm  Error  Amount    Episode  Reward  Feedback
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      82       -19     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      83       82      0.0641
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      84       94      0.4375
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      85       92      0.1623
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      86       85      0.1747
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      87       62      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      88       -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      89       58      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      90       54      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      91       -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      92       69      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      93       69      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      94       77      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      95       73      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      96       -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      97       58      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      98       72      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      99       77      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      100      55      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      101      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      102      62      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      103      77      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      104      73      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      105      65      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      106      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      107      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      108      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      109      73      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      110      66      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      111      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      112      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      113      69      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      114      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      115      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      116      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      117      73      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      118      69      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      119      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      120      73      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      121      73      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      122      -47     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      123      66      0.1659
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      124      87      0.0000
