Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 md34842    PPMP      0       0       74      0.5105  0.5025
MountainCarContinuous-v0 md34842    PPMP      0       1       79      1.1374  0.1649
MountainCarContinuous-v0 md34842    PPMP      0       2       89      1.4662  0.3944
MountainCarContinuous-v0 md34842    PPMP      0       3       88      1.0463  0.2851
MountainCarContinuous-v0 md34842    PPMP      0       4       91      0.5207  0.4626
MountainCarContinuous-v0 md34842    PPMP      0       5       77      0.5003  0.6036
MountainCarContinuous-v0 md34842    PPMP      0       6       94      0.5000  0.4814
MountainCarContinuous-v0 md34842    PPMP      0       7       89      0.5000  0.5288
MountainCarContinuous-v0 md34842    PPMP      0       8       91      0.5000  0.5728
MountainCarContinuous-v0 md34842    PPMP      0       9       83      0.5000  0.4345
MountainCarContinuous-v0 md34842    PPMP      0       10      92      0.5000  0.4412
MountainCarContinuous-v0 md34842    PPMP      0       11      93      0.5000  0.3869
MountainCarContinuous-v0 md34842    PPMP      0       12      94      0.5000  0.4919
MountainCarContinuous-v0 md34842    PPMP      0       13      94      0.5000  0.5242
MountainCarContinuous-v0 md34842    PPMP      0       14      93      0.5000  0.4409
MountainCarContinuous-v0 md34842    PPMP      0       15      94      0.5000  0.5826
MountainCarContinuous-v0 md34842    PPMP      0       16      94      0.5000  0.6333
MountainCarContinuous-v0 md34842    PPMP      0       17      93      0.5000  0.5868
MountainCarContinuous-v0 md34842    PPMP      0       18      92      0.5000  0.6239
MountainCarContinuous-v0 md34842    PPMP      0       19      91      0.5000  0.4552
MountainCarContinuous-v0 md34842    PPMP      0       20      94      0.5000  0.5965
MountainCarContinuous-v0 md34842    PPMP      0       21      94      0.5000  0.5593
MountainCarContinuous-v0 md34842    PPMP      0       22      95      0.5000  0.4923
MountainCarContinuous-v0 md34842    PPMP      0       23      95      0.5000  0.6019
MountainCarContinuous-v0 md34842    PPMP      0       24      95      0.5000  0.6518
MountainCarContinuous-v0 md34842    PPMP      0       25      95      0.5000  0.6750
MountainCarContinuous-v0 md34842    PPMP      0       26      92      0.5000  0.6957
MountainCarContinuous-v0 md34842    PPMP      0       27      95      0.5000  0.5596
MountainCarContinuous-v0 md34842    PPMP      0       28      95      0.5000  0.5250
MountainCarContinuous-v0 md34842    PPMP      0       29      94      0.5000  0.0000
MountainCarContinuous-v0 md34842    PPMP      0       30      95      0.5000  0.0000
