Environment                   Seed       Algorithm Error  Episode  Reward  Feedback
MountainCarContinuous-v0      md27246    DCOACH   0      0        -6      0.4144
MountainCarContinuous-v0      md27246    DCOACH   0      1        -9      0.6987
MountainCarContinuous-v0      md27246    DCOACH   0      2        -17     0.8148
MountainCarContinuous-v0      md27246    DCOACH   0      3        78      0.7310
MountainCarContinuous-v0      md27246    DCOACH   0      4        76      0.6138
MountainCarContinuous-v0      md27246    DCOACH   0      5        -41     0.7107
MountainCarContinuous-v0      md27246    DCOACH   0      6        71      0.6395
MountainCarContinuous-v0      md27246    DCOACH   0      7        64      0.6454
MountainCarContinuous-v0      md27246    DCOACH   0      8        74      0.6878
MountainCarContinuous-v0      md27246    DCOACH   0      9        70      0.5991
MountainCarContinuous-v0      md27246    DCOACH   0      10       66      0.7211
MountainCarContinuous-v0      md27246    DCOACH   0      11       71      0.7103
MountainCarContinuous-v0      md27246    DCOACH   0      12       74      0.6155
MountainCarContinuous-v0      md27246    DCOACH   0      13       66      0.6344
MountainCarContinuous-v0      md27246    DCOACH   0      14       -48     0.5475
MountainCarContinuous-v0      md27246    DCOACH   0      15       80      0.7134
MountainCarContinuous-v0      md27246    DCOACH   0      16       80      0.5786
MountainCarContinuous-v0      md27246    DCOACH   0      17       64      0.5227
MountainCarContinuous-v0      md27246    DCOACH   0      18       69      0.5046
MountainCarContinuous-v0      md27246    DCOACH   0      19       51      0.3896
MountainCarContinuous-v0      md27246    DCOACH   0      20       81      0.5199
MountainCarContinuous-v0      md27246    DCOACH   0      21       70      0.5371
MountainCarContinuous-v0      md27246    DCOACH   0      22       78      0.5256
MountainCarContinuous-v0      md27246    DCOACH   0      23       78      0.5389
MountainCarContinuous-v0      md27246    DCOACH   0      24       77      0.5982
MountainCarContinuous-v0      md27246    DCOACH   0      25       72      0.5215
MountainCarContinuous-v0      md27246    DCOACH   0      26       80      0.5175
MountainCarContinuous-v0      md27246    DCOACH   0      27       78      0.6086
MountainCarContinuous-v0      md27246    DCOACH   0      28       81      0.4920
MountainCarContinuous-v0      md27246    DCOACH   0      29       74      0.4786
MountainCarContinuous-v0      md27246    DCOACH   0      30       76      0.4936
MountainCarContinuous-v0      md27246    DCOACH   0      31       83      0.4858
MountainCarContinuous-v0      md27246    DCOACH   0      32       81      0.5177
MountainCarContinuous-v0      md27246    DCOACH   0      33       83      0.5967
MountainCarContinuous-v0      md27246    DCOACH   0      34       84      0.5556
MountainCarContinuous-v0      md27246    DCOACH   0      35       76      0.4252
MountainCarContinuous-v0      md27246    DCOACH   0      36       74      0.3810
MountainCarContinuous-v0      md27246    DCOACH   0      37       74      0.2341
MountainCarContinuous-v0      md27246    DCOACH   0      38       74      0.2967
MountainCarContinuous-v0      md27246    DCOACH   0      39       79      0.4196
MountainCarContinuous-v0      md27246    DCOACH   0      40       82      0.3887
MountainCarContinuous-v0      md27246    DCOACH   0      41       72      0.3417
MountainCarContinuous-v0      md27246    DCOACH   0      42       57      0.2174
MountainCarContinuous-v0      md27246    DCOACH   0      43       67      0.1377
MountainCarContinuous-v0      md27246    DCOACH   0      44       43      0.0440
MountainCarContinuous-v0      md27246    DCOACH   0      45       73      0.1996
MountainCarContinuous-v0      md27246    DCOACH   0      46       66      0.1682
MountainCarContinuous-v0      md27246    DCOACH   0      47       -59     0.0771
MountainCarContinuous-v0      md27246    DCOACH   0      48       73      0.2357
MountainCarContinuous-v0      md27246    DCOACH   0      49       68      0.2945
MountainCarContinuous-v0      md27246    DCOACH   0      50       63      0.1833
MountainCarContinuous-v0      md27246    DCOACH   0      51       -51     0.0661
