Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 dw48088    PPMP      0       0       94      0.5211  0.1370
MountainCarContinuous-v0 dw48088    PPMP      0       1       78      0.7802  0.1036
MountainCarContinuous-v0 dw48088    PPMP      0       2       90      1.3437  0.0368
MountainCarContinuous-v0 dw48088    PPMP      0       3       -44     1.2883  0.0450
MountainCarContinuous-v0 dw48088    PPMP      0       4       -41     0.7529  0.1061
MountainCarContinuous-v0 dw48088    PPMP      0       5       89      0.5201  0.3548
MountainCarContinuous-v0 dw48088    PPMP      0       6       92      0.5216  0.4913
MountainCarContinuous-v0 dw48088    PPMP      0       7       93      0.5165  0.5783
MountainCarContinuous-v0 dw48088    PPMP      0       8       58      0.5043  0.1721
MountainCarContinuous-v0 dw48088    PPMP      0       9       85      0.5297  0.6743
MountainCarContinuous-v0 dw48088    PPMP      0       10      94      0.5345  0.7188
MountainCarContinuous-v0 dw48088    PPMP      0       11      90      0.5148  0.7853
MountainCarContinuous-v0 dw48088    PPMP      0       12      91      0.5141  0.6062
MountainCarContinuous-v0 dw48088    PPMP      0       13      94      0.5171  0.5422
MountainCarContinuous-v0 dw48088    PPMP      0       14      90      0.5075  0.6940
MountainCarContinuous-v0 dw48088    PPMP      0       15      93      0.5320  0.5152
MountainCarContinuous-v0 dw48088    PPMP      0       16      88      0.5478  0.2881
MountainCarContinuous-v0 dw48088    PPMP      0       17      91      0.5112  0.5322
MountainCarContinuous-v0 dw48088    PPMP      0       18      88      0.5092  0.5030
MountainCarContinuous-v0 dw48088    PPMP      0       19      88      0.5120  0.5647
MountainCarContinuous-v0 dw48088    PPMP      0       20      82      0.5086  0.6255
MountainCarContinuous-v0 dw48088    PPMP      0       21      86      0.5364  0.0865
MountainCarContinuous-v0 dw48088    PPMP      0       22      84      0.5036  0.2659
MountainCarContinuous-v0 dw48088    PPMP      0       23      91      0.5056  0.5987
MountainCarContinuous-v0 dw48088    PPMP      0       24      93      0.5044  0.6918
MountainCarContinuous-v0 dw48088    PPMP      0       25      92      0.5044  0.6886
MountainCarContinuous-v0 dw48088    PPMP      0       26      90      0.5352  0.6536
MountainCarContinuous-v0 dw48088    PPMP      0       27      88      0.5053  0.6577
MountainCarContinuous-v0 dw48088    PPMP      0       28      87      0.5063  0.6707
MountainCarContinuous-v0 dw48088    PPMP      0       29      91      0.5188  0.2339
MountainCarContinuous-v0 dw48088    PPMP      0       30      94      0.5196  0.0833
MountainCarContinuous-v0 dw48088    PPMP      0       31      78      0.6710  0.0662
MountainCarContinuous-v0 dw48088    PPMP      0       32      93      0.5085  0.0000
MountainCarContinuous-v0 dw48088    PPMP      0       33      88      0.5000  0.1787
MountainCarContinuous-v0 dw48088    PPMP      0       34      95      0.5000  0.3367
MountainCarContinuous-v0 dw48088    PPMP      0       35      95      0.5000  0.5120
MountainCarContinuous-v0 dw48088    PPMP      0       36      95      0.5000  0.4194
MountainCarContinuous-v0 dw48088    PPMP      0       37      87      0.5000  0.0000
