Environment                   Seed       Algorithm   Error  Episode  Reward  Feedback
Pendulum-v0                   dw49291    DCOACH      0      0        -1284   0.5500
Pendulum-v0                   dw49291    DCOACH      0      1        -1059   0.6250
Pendulum-v0                   dw49291    DCOACH      0      2        -1056   0.5750
Pendulum-v0                   dw49291    DCOACH      0      3        -1175   0.6700
Pendulum-v0                   dw49291    DCOACH      0      4        -1068   0.6900
Pendulum-v0                   dw49291    DCOACH      0      5        -901    0.5400
Pendulum-v0                   dw49291    DCOACH      0      6        -913    0.5750
Pendulum-v0                   dw49291    DCOACH      0      7        -1444   0.8200
Pendulum-v0                   dw49291    DCOACH      0      8        -1000   0.7100
Pendulum-v0                   dw49291    DCOACH      0      9        -1508   0.2200
Pendulum-v0                   dw49291    DCOACH      0      10       -1377   0.1950
Pendulum-v0                   dw49291    DCOACH      0      11       -1324   0.4050
Pendulum-v0                   dw49291    DCOACH      0      12       -1025   0.4250
Pendulum-v0                   dw49291    DCOACH      0      13       -1066   0.6300
Pendulum-v0                   dw49291    DCOACH      0      14       -931    0.7050
Pendulum-v0                   dw49291    DCOACH      0      15       -1089   0.7750
Pendulum-v0                   dw49291    DCOACH      0      16       -973    0.6850
Pendulum-v0                   dw49291    DCOACH      0      17       -1114   0.7200
Pendulum-v0                   dw49291    DCOACH      0      18       -1153   0.8000
Pendulum-v0                   dw49291    DCOACH      0      19       -1018   0.6450
Pendulum-v0                   dw49291    DCOACH      0      20       -1253   0.3900
Pendulum-v0                   dw49291    DCOACH      0      21       -808    0.4550
Pendulum-v0                   dw49291    DCOACH      0      22       -1032   0.5000
Pendulum-v0                   dw49291    DCOACH      0      23       -1019   0.7550
Pendulum-v0                   dw49291    DCOACH      0      24       -1162   0.7650
Pendulum-v0                   dw49291    DCOACH      0      25       -909    0.7900
Pendulum-v0                   dw49291    DCOACH      0      26       -1260   0.7250
Pendulum-v0                   dw49291    DCOACH      0      27       -1177   0.6050
Pendulum-v0                   dw49291    DCOACH      0      28       -1191   0.4600
Pendulum-v0                   dw49291    DCOACH      0      29       -1256   0.2400
Pendulum-v0                   dw49291    DCOACH      0      30       -1423   0.0700
Pendulum-v0                   dw49291    DCOACH      0      31       -1416   0.0000
Pendulum-v0                   dw49291    DCOACH      0      32       -1243   0.2350
Pendulum-v0                   dw49291    DCOACH      0      33       -921    0.5350
Pendulum-v0                   dw49291    DCOACH      0      34       -1214   0.7000
Pendulum-v0                   dw49291    DCOACH      0      35       -1168   0.3600
Pendulum-v0                   dw49291    DCOACH      0      36       -1176   0.4950
Pendulum-v0                   dw49291    DCOACH      0      37       -1034   0.5850
Pendulum-v0                   dw49291    DCOACH      0      38       -1414   0.1350
Pendulum-v0                   dw49291    DCOACH      0      39       -1367   0.0000
Pendulum-v0                   dw49291    DCOACH      0      40       -1228   0.0000
Pendulum-v0                   dw49291    DCOACH      0      41       -1371   0.0000
