Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 dw86208    PPMP      0       0       80      0.5104  0.0846
MountainCarContinuous-v0 dw86208    PPMP      0       1       81      0.9178  0.1365
MountainCarContinuous-v0 dw86208    PPMP      0       2       87      1.4659  0.1143
MountainCarContinuous-v0 dw86208    PPMP      0       3       90      1.4726  0.1190
MountainCarContinuous-v0 dw86208    PPMP      0       4       44      0.7383  0.0544
MountainCarContinuous-v0 dw86208    PPMP      0       5       52      0.5000  0.0918
MountainCarContinuous-v0 dw86208    PPMP      0       6       56      0.5000  0.1576
MountainCarContinuous-v0 dw86208    PPMP      0       7       85      0.5000  0.1032
MountainCarContinuous-v0 dw86208    PPMP      0       8       72      0.5000  0.1629
MountainCarContinuous-v0 dw86208    PPMP      0       9       72      0.5000  0.1111
MountainCarContinuous-v0 dw86208    PPMP      0       10      79      0.5000  0.0812
MountainCarContinuous-v0 dw86208    PPMP      0       11      73      0.5000  0.1000
MountainCarContinuous-v0 dw86208    PPMP      0       12      74      0.5000  0.0493
MountainCarContinuous-v0 dw86208    PPMP      0       13      84      0.5000  0.0603
MountainCarContinuous-v0 dw86208    PPMP      0       14      87      0.5000  0.1587
MountainCarContinuous-v0 dw86208    PPMP      0       15      89      0.5000  0.1346
MountainCarContinuous-v0 dw86208    PPMP      0       16      86      0.5000  0.1731
MountainCarContinuous-v0 dw86208    PPMP      0       17      89      0.5000  0.1022
MountainCarContinuous-v0 dw86208    PPMP      0       18      89      0.5000  0.0929
MountainCarContinuous-v0 dw86208    PPMP      0       19      88      0.5000  0.1317
MountainCarContinuous-v0 dw86208    PPMP      0       20      93      0.5000  0.1440
MountainCarContinuous-v0 dw86208    PPMP      0       21      91      0.5000  0.1679
MountainCarContinuous-v0 dw86208    PPMP      0       22      93      0.5000  0.1520
MountainCarContinuous-v0 dw86208    PPMP      0       23      92      0.5000  0.1746
MountainCarContinuous-v0 dw86208    PPMP      0       24      92      0.5000  0.0000
MountainCarContinuous-v0 dw86208    PPMP      0       25      90      0.5000  0.0000
MountainCarContinuous-v0 dw86208    PPMP      0       26      89      0.5000  0.0000
MountainCarContinuous-v0 dw86208    PPMP      0       27      87      0.5000  0.0000
MountainCarContinuous-v0 dw86208    PPMP      0       28      89      0.5000  0.0000
MountainCarContinuous-v0 dw86208    PPMP      0       29      90      0.5000  0.0000
MountainCarContinuous-v0 dw86208    PPMP      0       30      92      0.5000  0.0000
MountainCarContinuous-v0 dw86208    PPMP      0       31      -21     0.5000  0.0000
