Environment                   Seed       Algorithm   Error  Episode  Reward  Feedback
Pendulum-v0                   js01986    DCOACH      0      0        -1151   0.4650
Pendulum-v0                   js01986    DCOACH      0      1        -878    0.3250
Pendulum-v0                   js01986    DCOACH      0      2        -1125   0.6050
Pendulum-v0                   js01986    DCOACH      0      3        -932    0.5350
Pendulum-v0                   js01986    DCOACH      0      4        -797    0.6650
Pendulum-v0                   js01986    DCOACH      0      5        -1157   0.7250
Pendulum-v0                   js01986    DCOACH      0      6        -1435   0.6050
Pendulum-v0                   js01986    DCOACH      0      7        -1121   0.6000
Pendulum-v0                   js01986    DCOACH      0      8        -1028   0.7400
Pendulum-v0                   js01986    DCOACH      0      9        -1073   0.9350
Pendulum-v0                   js01986    DCOACH      0      10       -1198   0.9800
Pendulum-v0                   js01986    DCOACH      0      11       -903    0.9600
Pendulum-v0                   js01986    DCOACH      0      12       -983    0.8050
Pendulum-v0                   js01986    DCOACH      0      13       -1048   0.9400
Pendulum-v0                   js01986    DCOACH      0      14       -866    0.9000
Pendulum-v0                   js01986    DCOACH      0      15       -1044   0.9700
Pendulum-v0                   js01986    DCOACH      0      16       -949    0.9550
Pendulum-v0                   js01986    DCOACH      0      17       -675    0.9350
Pendulum-v0                   js01986    DCOACH      0      18       -1019   0.9000
Pendulum-v0                   js01986    DCOACH      0      19       -1476   0.3300
Pendulum-v0                   js01986    DCOACH      0      20       -1232   0.9100
Pendulum-v0                   js01986    DCOACH      0      21       -1132   0.8650
Pendulum-v0                   js01986    DCOACH      0      22       -943    0.6600
Pendulum-v0                   js01986    DCOACH      0      23       -1217   0.7150
Pendulum-v0                   js01986    DCOACH      0      24       -972    0.9350
Pendulum-v0                   js01986    DCOACH      0      25       -1122   0.7150
Pendulum-v0                   js01986    DCOACH      0      26       -1042   0.0900
Pendulum-v0                   js01986    DCOACH      0      27       -795    0.7950
Pendulum-v0                   js01986    DCOACH      0      28       -836    0.9150
Pendulum-v0                   js01986    DCOACH      0      29       -829    0.6750
Pendulum-v0                   js01986    DCOACH      0      30       -950    0.2450
Pendulum-v0                   js01986    DCOACH      0      31       -1024   0.5200
Pendulum-v0                   js01986    DCOACH      0      32       -1107   0.0000
Pendulum-v0                   js01986    DCOACH      0      33       -1022   0.5450
Pendulum-v0                   js01986    DCOACH      0      34       -806    0.4600
Pendulum-v0                   js01986    DCOACH      0      35       -1123   0.9650
Pendulum-v0                   js01986    DCOACH      0      36       -819    0.4750
Pendulum-v0                   js01986    DCOACH      0      37       -948    0.0900
Pendulum-v0                   js01986    DCOACH      0      38       -1038   0.5250
Pendulum-v0                   js01986    DCOACH      0      39       -1150   0.4100
Pendulum-v0                   js01986    DCOACH      0      40       -943    0.4350
Pendulum-v0                   js01986    DCOACH      0      41       -838    0.4850
Pendulum-v0                   js01986    DCOACH      0      42       -981    0.5950
Pendulum-v0                   js01986    DCOACH      0      43       -1424   0.3550
Pendulum-v0                   js01986    DCOACH      0      44       -1122   0.1950
Pendulum-v0                   js01986    DCOACH      0      45       -1205   0.1300
Pendulum-v0                   js01986    DCOACH      0      46       -1314   0.6450
Pendulum-v0                   js01986    DCOACH      0      47       -1114   0.5250
Pendulum-v0                   js01986    DCOACH      0      48       -951    0.1900
Pendulum-v0                   js01986    DCOACH      0      49       -792    0.1750
Pendulum-v0                   js01986    DCOACH      0      50       -1130   0.0450
Pendulum-v0                   js01986    DCOACH      0      51       -809    0.0650
Pendulum-v0                   js01986    DCOACH      0      52       -1087   0.0150
Pendulum-v0                   js01986    DCOACH      0      53       -1072   0.0000
Pendulum-v0                   js01986    DCOACH      0      54       -965    0.3050
Pendulum-v0                   js01986    DCOACH      0      55       -946    0.5450
Pendulum-v0                   js01986    DCOACH      0      56       -1003   0.7900
Pendulum-v0                   js01986    DCOACH      0      57       -891    0.5250
Pendulum-v0                   js01986    DCOACH      0      58       -1101   0.2550
Pendulum-v0                   js01986    DCOACH      0      59       -1067   0.0000
Pendulum-v0                   js01986    DCOACH      0      60       -1173   0.0000
Pendulum-v0                   js01986    DCOACH      0      61       -1118   0.0000
Pendulum-v0                   js01986    DCOACH      0      62       -1304   0.0000
Pendulum-v0                   js01986    DCOACH      0      63       -1089   0.1000
Pendulum-v0                   js01986    DCOACH      0      64       -831    0.5000
Pendulum-v0                   js01986    DCOACH      0      65       -803    0.3100
Pendulum-v0                   js01986    DCOACH      0      66       -783    0.1650
Pendulum-v0                   js01986    DCOACH      0      67       -945    0.5000
Pendulum-v0                   js01986    DCOACH      0      68       -933    0.4800
Pendulum-v0                   js01986    DCOACH      0      69       -971    0.7750
Pendulum-v0                   js01986    DCOACH      0      70       -1071   0.9450
Pendulum-v0                   js01986    DCOACH      0      71       -954    0.1850
Pendulum-v0                   js01986    DCOACH      0      72       -858    0.0400
Pendulum-v0                   js01986    DCOACH      0      73       -1000   0.2150
Pendulum-v0                   js01986    DCOACH      0      74       -767    0.4750
Pendulum-v0                   js01986    DCOACH      0      75       -946    0.9500
Pendulum-v0                   js01986    DCOACH      0      76       -1025   0.6600
Pendulum-v0                   js01986    DCOACH      0      77       -1103   0.0000
Pendulum-v0                   js01986    DCOACH      0      78       -1089   0.0000
Pendulum-v0                   js01986    DCOACH      0      79       -1170   0.0000
Pendulum-v0                   js01986    DCOACH      0      80       -1097   0.0000
Pendulum-v0                   js01986    DCOACH      0      81       -1098   0.0000
Pendulum-v0                   js01986    DCOACH      0      82       -1108   0.0000
Pendulum-v0                   js01986    DCOACH      0      83       -1008   0.0000
Pendulum-v0                   js01986    DCOACH      0      84       -1077   0.0000
Pendulum-v0                   js01986    DCOACH      0      85       -1204   0.0000
Pendulum-v0                   js01986    DCOACH      0      86       -1095   0.0000
Pendulum-v0                   js01986    DCOACH      0      87       -998    0.0000
Pendulum-v0                   js01986    DCOACH      0      88       -1102   0.0000
