Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 md32027    PPMP      0       0       -7      0.5755  0.0721
MountainCarContinuous-v0 md32027    PPMP      0       1       -24     0.7666  0.0861
MountainCarContinuous-v0 md32027    PPMP      0       2       79      0.6337  0.3878
MountainCarContinuous-v0 md32027    PPMP      0       3       96      0.6323  0.2835
MountainCarContinuous-v0 md32027    PPMP      0       4       -48     0.9962  0.0871
MountainCarContinuous-v0 md32027    PPMP      0       5       93      0.8902  0.2067
MountainCarContinuous-v0 md32027    PPMP      0       6       94      0.9335  0.0690
MountainCarContinuous-v0 md32027    PPMP      0       7       75      0.6023  0.0640
MountainCarContinuous-v0 md32027    PPMP      0       8       95      0.5753  0.0428
MountainCarContinuous-v0 md32027    PPMP      0       9       96      0.6528  0.0833
MountainCarContinuous-v0 md32027    PPMP      0       10      89      0.6047  0.0633
MountainCarContinuous-v0 md32027    PPMP      0       11      93      0.5327  0.0767
MountainCarContinuous-v0 md32027    PPMP      0       12      -7      0.5396  0.0551
MountainCarContinuous-v0 md32027    PPMP      0       13      93      0.5477  0.0773
MountainCarContinuous-v0 md32027    PPMP      0       14      89      0.5393  0.0980
MountainCarContinuous-v0 md32027    PPMP      0       15      95      0.6948  0.1708
MountainCarContinuous-v0 md32027    PPMP      0       16      94      1.0283  0.2092
MountainCarContinuous-v0 md32027    PPMP      0       17      95      1.4111  0.1548
MountainCarContinuous-v0 md32027    PPMP      0       18      91      1.3656  0.1744
MountainCarContinuous-v0 md32027    PPMP      0       19      94      1.2335  0.1402
MountainCarContinuous-v0 md32027    PPMP      0       20      94      1.0539  0.0447
MountainCarContinuous-v0 md32027    PPMP      0       21      92      0.8809  0.0514
MountainCarContinuous-v0 md32027    PPMP      0       22      91      0.7789  0.0190
MountainCarContinuous-v0 md32027    PPMP      0       23      94      0.7311  0.0355
MountainCarContinuous-v0 md32027    PPMP      0       24      94      0.6495  0.0735
