Environment              Seed     Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 js99945  PPMP      0       0       -24     0.5217  0.5676
MountainCarContinuous-v0 js99945  PPMP      0       1       87      0.5078  0.3709
MountainCarContinuous-v0 js99945  PPMP      0       2       79      0.8235  0.1227
MountainCarContinuous-v0 js99945  PPMP      0       3       72      1.0017  0.0946
MountainCarContinuous-v0 js99945  PPMP      0       4       71      0.9527  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       5       86      1.1575  0.0844
MountainCarContinuous-v0 js99945  PPMP      0       6       86      1.1245  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       7       84      0.9065  0.0267
MountainCarContinuous-v0 js99945  PPMP      0       8       92      0.5667  0.0506
MountainCarContinuous-v0 js99945  PPMP      0       9       96      0.5295  0.1769
MountainCarContinuous-v0 js99945  PPMP      0       10      95      0.5324  0.3207
MountainCarContinuous-v0 js99945  PPMP      0       11      92      0.5307  0.3537
MountainCarContinuous-v0 js99945  PPMP      0       12      86      0.5273  0.4646
MountainCarContinuous-v0 js99945  PPMP      0       13      96      0.5497  0.1854
MountainCarContinuous-v0 js99945  PPMP      0       14      95      0.6067  0.1031
MountainCarContinuous-v0 js99945  PPMP      0       15      94      0.7203  0.5000
MountainCarContinuous-v0 js99945  PPMP      0       16      96      0.6541  0.1707
MountainCarContinuous-v0 js99945  PPMP      0       17      95      0.5610  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       18      89      0.5505  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       19      93      0.5859  0.0566
MountainCarContinuous-v0 js99945  PPMP      0       20      93      0.5619  0.1010
MountainCarContinuous-v0 js99945  PPMP      0       21      96      0.5245  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       22      96      0.5239  0.0283
MountainCarContinuous-v0 js99945  PPMP      0       23      94      0.5450  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       24      92      0.6166  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       25      95      0.5643  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       26      90      0.5337  0.1318
MountainCarContinuous-v0 js99945  PPMP      0       27      88      0.5668  0.4079
MountainCarContinuous-v0 js99945  PPMP      0       28      94      0.5705  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       29      81      0.6839  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       30      -33     1.1514  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       31      88      0.8946  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       32      -21     0.8037  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       33      80      0.8717  0.0253
MountainCarContinuous-v0 js99945  PPMP      0       34      87      0.8451  0.1216
MountainCarContinuous-v0 js99945  PPMP      0       35      91      0.7848  0.2372
MountainCarContinuous-v0 js99945  PPMP      0       36      94      0.7652  0.0864
MountainCarContinuous-v0 js99945  PPMP      0       37      91      0.7789  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       38      94      0.7382  0.1930
MountainCarContinuous-v0 js99945  PPMP      0       39      93      0.7541  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       40      95      0.7295  0.2013
MountainCarContinuous-v0 js99945  PPMP      0       41      94      0.7660  0.0578
MountainCarContinuous-v0 js99945  PPMP      0       42      92      0.7433  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       43      92      0.6339  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       44      87      0.6734  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       45      88      0.6718  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       46      86      0.6350  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       47      88      0.5836  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       48      89      0.7344  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       49      88      0.6186  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       50      89      0.6252  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       51      89      0.6067  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       52      89      0.5981  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       53      90      0.6297  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       54      87      0.6903  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       55      90      0.6982  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       56      88      0.7620  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       57      78      0.6271  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       58      79      0.6431  0.0000
MountainCarContinuous-v0 js99945  PPMP      0       59      76      0.7295  0.0000
