Environment                   Seed       Algorithm Error  Episode  Reward  Feedback
MountainCarContinuous-v0      md94237    DCOACH   0      0        -15     0.4214
MountainCarContinuous-v0      md94237    DCOACH   0      1        -13     0.4434
MountainCarContinuous-v0      md94237    DCOACH   0      2        -11     0.7768
MountainCarContinuous-v0      md94237    DCOACH   0      3        -13     0.6456
MountainCarContinuous-v0      md94237    DCOACH   0      4        -26     0.7938
MountainCarContinuous-v0      md94237    DCOACH   0      5        77      0.5810
MountainCarContinuous-v0      md94237    DCOACH   0      6        62      0.4516
MountainCarContinuous-v0      md94237    DCOACH   0      7        62      0.6240
MountainCarContinuous-v0      md94237    DCOACH   0      8        73      0.6462
MountainCarContinuous-v0      md94237    DCOACH   0      9        65      0.5712
MountainCarContinuous-v0      md94237    DCOACH   0      10       64      0.3709
MountainCarContinuous-v0      md94237    DCOACH   0      11       64      0.4882
MountainCarContinuous-v0      md94237    DCOACH   0      12       56      0.2078
MountainCarContinuous-v0      md94237    DCOACH   0      13       -44     0.2012
MountainCarContinuous-v0      md94237    DCOACH   0      14       69      0.4380
MountainCarContinuous-v0      md94237    DCOACH   0      15       70      0.3780
MountainCarContinuous-v0      md94237    DCOACH   0      16       72      0.3933
MountainCarContinuous-v0      md94237    DCOACH   0      17       66      0.4608
MountainCarContinuous-v0      md94237    DCOACH   0      18       64      0.1383
MountainCarContinuous-v0      md94237    DCOACH   0      19       52      0.1120
MountainCarContinuous-v0      md94237    DCOACH   0      20       63      0.1930
MountainCarContinuous-v0      md94237    DCOACH   0      21       65      0.1610
MountainCarContinuous-v0      md94237    DCOACH   0      22       54      0.1610
MountainCarContinuous-v0      md94237    DCOACH   0      23       59      0.2947
MountainCarContinuous-v0      md94237    DCOACH   0      24       70      0.4419
MountainCarContinuous-v0      md94237    DCOACH   0      25       75      0.4118
MountainCarContinuous-v0      md94237    DCOACH   0      26       72      0.2473
MountainCarContinuous-v0      md94237    DCOACH   0      27       57      0.1213
MountainCarContinuous-v0      md94237    DCOACH   0      28       59      0.1078
MountainCarContinuous-v0      md94237    DCOACH   0      29       69      0.2638
MountainCarContinuous-v0      md94237    DCOACH   0      30       63      0.0946
MountainCarContinuous-v0      md94237    DCOACH   0      31       50      0.0294
