Environment                   Seed       Algorithm Error  Episode  Reward  Feedback
MountainCarContinuous-v0      js67833    DCOACH   0      92       77      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      93       77      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      94       81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      95       87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      96       87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      97       -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      98       87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      99       77      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      100      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      101      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      102      73      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      103      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      104      -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      105      -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      106      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      107      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      108      -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      109      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      110      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      111      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      112      79      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      113      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      114      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      115      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      116      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      117      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      118      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      119      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      120      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      121      78      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      122      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      123      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      124      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      125      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      126      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      127      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      128      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      129      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      130      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      131      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      132      76      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      133      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      134      -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      135      77      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      136      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      137      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      138      71      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      139      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      140      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      141      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      142      79      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      143      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      144      77      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      145      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      146      -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      147      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      148      75      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      149      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      150      77      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      151      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      152      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      153      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      154      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      155      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      156      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      157      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      158      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      159      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      160      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      161      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      162      -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      163      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      164      85      0.0000
