Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 dw40200    PPMP      0       81      90      0.6803  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       82      93      0.5284  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       83      93      0.5244  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       84      93      0.5328  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       85      91      0.6161  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       86      93      0.5205  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       87      90      0.5442  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       88      93      0.5154  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       89      93      0.5188  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       90      90      0.5614  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       91      93      0.5205  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       92      93      0.5195  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       93      90      0.6314  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       94      93      0.5356  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       95      93      0.5302  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       96      91      0.5496  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       97      93      0.5271  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       98      93      0.5406  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       99      92      0.6153  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       100     90      0.5390  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       101     93      0.5208  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       102     93      0.5211  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       103     93      0.5171  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       104     93      0.5142  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       105     94      0.5187  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       106     94      0.5209  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       107     94      0.5190  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       108     94      0.5138  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       109     93      0.5181  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       110     93      0.5188  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       111     92      0.5361  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       112     92      0.5314  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       113     91      0.5372  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       114     92      0.5248  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       115     91      0.5354  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       116     90      0.5779  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       117     82      0.6766  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       118     91      0.5893  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       119     91      0.5514  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       120     91      0.5299  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       121     91      0.5271  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       122     91      0.5189  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       123     91      0.5154  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       124     90      0.5147  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       125     91      0.5087  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       126     91      0.5080  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       127     91      0.5080  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       128     91      0.5077  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       129     91      0.5030  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       130     91      0.5031  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       131     91      0.5060  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       132     91      0.5053  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       133     91      0.5054  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       134     91      0.5074  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       135     91      0.5033  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       136     91      0.5062  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       137     91      0.5030  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       138     91      0.5047  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       139     91      0.5038  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       140     91      0.5081  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       141     91      0.5061  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       142     91      0.5068  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       143     91      0.5053  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       144     92      0.5044  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       145     92      0.5036  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       146     92      0.5055  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       147     91      0.5044  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       148     92      0.5041  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       149     92      0.5043  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       150     92      0.5040  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       151     91      0.5130  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       152     91      0.5130  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       153     92      0.5005  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       154     92      0.5064  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       155     92      0.5015  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       156     92      0.5008  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       157     92      0.5000  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       158     92      0.5020  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       159     92      0.5007  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       160     92      0.5072  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       161     92      0.5011  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       162     92      0.5041  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       163     92      0.5033  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       164     92      0.5026  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       165     92      0.5100  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       166     92      0.5045  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       167     92      0.5069  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       168     92      0.5041  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       169     92      0.5042  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       170     92      0.5022  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       171     92      0.5012  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       172     92      0.5013  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       173     92      0.5009  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       174     92      0.5039  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       175     92      0.5012  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       176     92      0.5009  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       177     92      0.5064  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       178     92      0.5058  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       179     92      0.5031  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       180     93      0.5040  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       181     92      0.5062  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       182     92      0.5051  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       183     92      0.5057  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       184     92      0.5050  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       185     93      0.5048  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       186     92      0.5057  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       187     93      0.5024  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       188     92      0.5056  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       189     92      0.5061  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       190     92      0.5037  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       191     92      0.5063  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       192     92      0.5066  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       193     93      0.5010  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       194     92      0.5051  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       195     92      0.5052  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       196     92      0.5062  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       197     93      0.5009  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       198     92      0.5062  0.0000
MountainCarContinuous-v0 dw40200    PPMP      0       199     92      0.5055  0.0000
