Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 dw30437    PPMP      0       0       92      0.5215  0.7851
MountainCarContinuous-v0 dw30437    PPMP      0       1       74      1.0791  0.2022
MountainCarContinuous-v0 dw30437    PPMP      0       2       81      1.4675  0.1011
MountainCarContinuous-v0 dw30437    PPMP      0       3       82      1.2817  0.1463
MountainCarContinuous-v0 dw30437    PPMP      0       4       -89     0.6000  0.0270
MountainCarContinuous-v0 dw30437    PPMP      0       5       -61     0.5023  0.0891
MountainCarContinuous-v0 dw30437    PPMP      0       6       87      0.5020  0.6872
MountainCarContinuous-v0 dw30437    PPMP      0       7       82      0.5019  0.1982
MountainCarContinuous-v0 dw30437    PPMP      0       8       85      0.5019  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       9       84      0.5039  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       10      91      0.5135  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       11      80      1.0440  0.0951
MountainCarContinuous-v0 dw30437    PPMP      0       12      92      1.2827  0.6261
MountainCarContinuous-v0 dw30437    PPMP      0       13      86      1.3235  0.1558
MountainCarContinuous-v0 dw30437    PPMP      0       14      81      1.0885  0.1533
MountainCarContinuous-v0 dw30437    PPMP      0       15      83      0.8060  0.1818
MountainCarContinuous-v0 dw30437    PPMP      0       16      77      0.7023  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       17      86      0.7373  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       18      77      0.9157  0.1734
MountainCarContinuous-v0 dw30437    PPMP      0       19      87      0.6081  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       20      80      0.5274  0.1772
MountainCarContinuous-v0 dw30437    PPMP      0       21      32      0.5001  0.1086
MountainCarContinuous-v0 dw30437    PPMP      0       22      91      0.5007  0.5984
MountainCarContinuous-v0 dw30437    PPMP      0       23      52      0.5000  0.0019
MountainCarContinuous-v0 dw30437    PPMP      0       24      73      0.5000  0.1076
MountainCarContinuous-v0 dw30437    PPMP      0       25      81      0.5000  0.0723
MountainCarContinuous-v0 dw30437    PPMP      0       26      79      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       27      59      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       28      80      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       29      81      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       30      74      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       31      84      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       32      81      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       33      74      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       34      52      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       35      75      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       36      63      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       37      74      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       38      -90     0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       39      -86     0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       40      34      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       41      93      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       42      77      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       43      70      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       44      81      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       45      81      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       46      81      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       47      91      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       48      91      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       49      86      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       50      85      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       51      79      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       52      91      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       53      84      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       54      90      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       55      91      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       56      83      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       57      85      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       58      83      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       59      86      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       60      81      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       61      83      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       62      89      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       63      -22     0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       64      87      0.5000  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       65      92      0.5003  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       66      94      0.6099  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       67      92      0.8812  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       68      95      1.0596  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       69      90      1.1310  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       70      93      0.9608  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       71      94      1.0425  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       72      93      0.8548  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       73      94      0.8123  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       74      95      0.8472  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       75      93      0.7140  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       76      93      0.7936  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       77      94      0.8279  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       78      94      0.8292  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       79      93      0.7020  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       80      93      0.6250  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       81      93      0.6385  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       82      93      0.6306  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       83      93      0.6049  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       84      93      0.6633  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       85      93      0.5945  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       86      94      0.6340  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       87      93      0.5911  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       88      94      0.6205  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       89      93      0.5834  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       90      93      0.6236  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       91      93      0.5715  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       92      93      0.5674  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       93      93      0.5907  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       94      93      0.6035  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       95      93      0.5679  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       96      93      0.5673  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       97      93      0.5617  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       98      93      0.5631  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       99      93      0.5878  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       100     93      0.5553  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       101     93      0.5575  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       102     93      0.5727  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       103     93      0.5533  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       104     93      0.5579  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       105     93      0.5569  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       106     93      0.5726  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       107     93      0.5574  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       108     93      0.5583  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       109     93      0.5726  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       110     93      0.5627  0.0000
MountainCarContinuous-v0 dw30437    PPMP      0       111     93      0.5620  0.0000
