Environment              Seed       Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 md98233   PPMP      0       0       94      0.5119  0.2762
MountainCarContinuous-v0 md98233   PPMP      0       1       74      0.7619  0.2408
MountainCarContinuous-v0 md98233   PPMP      0       2       88      0.6331  0.2860
MountainCarContinuous-v0 md98233   PPMP      0       3       91      1.1934  0.1992
MountainCarContinuous-v0 md98233   PPMP      0       4       83      1.0350  0.2443
MountainCarContinuous-v0 md98233   PPMP      0       5       96      0.9047  0.2662
MountainCarContinuous-v0 md98233   PPMP      0       6       94      1.2096  0.3155
MountainCarContinuous-v0 md98233   PPMP      0       7       95      1.2375  0.0000
MountainCarContinuous-v0 md98233   PPMP      0       8       96      1.1123  0.0000
MountainCarContinuous-v0 md98233   PPMP      0       9       96      0.8971  0.0000
MountainCarContinuous-v0 md98233   PPMP      0       10      80      1.2799  0.0433
MountainCarContinuous-v0 md98233   PPMP      0       11      92      1.1511  0.0465
MountainCarContinuous-v0 md98233   PPMP      0       12      80      1.1370  0.0889
MountainCarContinuous-v0 md98233   PPMP      0       13      84      1.2162  0.0724
MountainCarContinuous-v0 md98233   PPMP      0       14      78      1.3989  0.1254
MountainCarContinuous-v0 md98233   PPMP      0       15      89      1.4582  0.2378
MountainCarContinuous-v0 md98233   PPMP      0       16      84      1.4584  0.0902
MountainCarContinuous-v0 md98233   PPMP      0       17      88      1.4759  0.0000
MountainCarContinuous-v0 md98233   PPMP      0       18      92      1.4949  0.0000
MountainCarContinuous-v0 md98233   PPMP      0       19      94      1.4884  0.0894
MountainCarContinuous-v0 md98233   PPMP      0       20      91      1.4889  0.0860
MountainCarContinuous-v0 md98233   PPMP      0       21      88      1.4830  0.1693
MountainCarContinuous-v0 md98233   PPMP      0       22      88      1.4608  0.0302
MountainCarContinuous-v0 md98233   PPMP      0       23      79      1.4306  0.0000
MountainCarContinuous-v0 md98233   PPMP      0       24      70      1.1667  0.0422
MountainCarContinuous-v0 md98233   PPMP      0       25      82      0.9071  0.0650
