Environment                   Seed       Algorithm   Error  Episode  Reward  Feedback
Pendulum-v0                   js73228    DCOACH      0      0        -1256   0.4300
Pendulum-v0                   js73228    DCOACH      0      1        -1078   0.9200
Pendulum-v0                   js73228    DCOACH      0      2        -1022   0.8900
Pendulum-v0                   js73228    DCOACH      0      3        -1727   0.9800
Pendulum-v0                   js73228    DCOACH      0      4        -1101   0.9300
Pendulum-v0                   js73228    DCOACH      0      5        -1139   0.7500
Pendulum-v0                   js73228    DCOACH      0      6        -939    0.3350
Pendulum-v0                   js73228    DCOACH      0      7        -1178   0.5750
Pendulum-v0                   js73228    DCOACH      0      8        -1519   0.7200
Pendulum-v0                   js73228    DCOACH      0      9        -810    0.5750
Pendulum-v0                   js73228    DCOACH      0      10       -928    0.7650
Pendulum-v0                   js73228    DCOACH      0      11       -819    0.3450
Pendulum-v0                   js73228    DCOACH      0      12       -1014   0.8100
Pendulum-v0                   js73228    DCOACH      0      13       -1159   0.9550
Pendulum-v0                   js73228    DCOACH      0      14       -1396   0.9850
Pendulum-v0                   js73228    DCOACH      0      15       -1376   0.9650
Pendulum-v0                   js73228    DCOACH      0      16       -1044   0.3050
Pendulum-v0                   js73228    DCOACH      0      17       -1002   0.4500
Pendulum-v0                   js73228    DCOACH      0      18       -1062   0.8500
Pendulum-v0                   js73228    DCOACH      0      19       -1515   0.9850
Pendulum-v0                   js73228    DCOACH      0      20       -1526   1.0000
Pendulum-v0                   js73228    DCOACH      0      21       -1184   0.3350
Pendulum-v0                   js73228    DCOACH      0      22       -1016   0.5050
Pendulum-v0                   js73228    DCOACH      0      23       -1318   0.4950
Pendulum-v0                   js73228    DCOACH      0      24       -1033   0.6550
Pendulum-v0                   js73228    DCOACH      0      25       -938    0.4750
Pendulum-v0                   js73228    DCOACH      0      26       -1214   0.1900
Pendulum-v0                   js73228    DCOACH      0      27       -1540   0.2350
Pendulum-v0                   js73228    DCOACH      0      28       -1208   0.6750
Pendulum-v0                   js73228    DCOACH      0      29       -1377   0.3550
Pendulum-v0                   js73228    DCOACH      0      30       -908    0.6900
Pendulum-v0                   js73228    DCOACH      0      31       -1276   0.7350
Pendulum-v0                   js73228    DCOACH      0      32       -1131   0.9150
Pendulum-v0                   js73228    DCOACH      0      33       -1191   0.6350
Pendulum-v0                   js73228    DCOACH      0      34       -1402   0.4700
Pendulum-v0                   js73228    DCOACH      0      35       -997    0.4050
Pendulum-v0                   js73228    DCOACH      0      36       -1056   0.6700
Pendulum-v0                   js73228    DCOACH      0      37       -952    0.4550
Pendulum-v0                   js73228    DCOACH      0      38       -1034   0.4900
Pendulum-v0                   js73228    DCOACH      0      39       -913    0.5450
Pendulum-v0                   js73228    DCOACH      0      40       -1006   0.5900
Pendulum-v0                   js73228    DCOACH      0      41       -1003   0.2000
Pendulum-v0                   js73228    DCOACH      0      42       -901    0.2750
Pendulum-v0                   js73228    DCOACH      0      43       -935    0.3200
Pendulum-v0                   js73228    DCOACH      0      44       -909    0.5150
Pendulum-v0                   js73228    DCOACH      0      45       -995    0.7500
Pendulum-v0                   js73228    DCOACH      0      46       -861    0.4500
Pendulum-v0                   js73228    DCOACH      0      47       -1255   0.5200
Pendulum-v0                   js73228    DCOACH      0      48       -938    0.2900
Pendulum-v0                   js73228    DCOACH      0      49       -1042   0.2150
Pendulum-v0                   js73228    DCOACH      0      50       -803    0.2800
Pendulum-v0                   js73228    DCOACH      0      51       -982    0.1000
Pendulum-v0                   js73228    DCOACH      0      52       -1072   0.0450
Pendulum-v0                   js73228    DCOACH      0      53       -792    0.1000
Pendulum-v0                   js73228    DCOACH      0      54       -888    0.2600
Pendulum-v0                   js73228    DCOACH      0      55       -1010   0.0400
Pendulum-v0                   js73228    DCOACH      0      56       -1352   0.0450
Pendulum-v0                   js73228    DCOACH      0      57       -927    0.0000
Pendulum-v0                   js73228    DCOACH      0      58       -1045   0.0000
Pendulum-v0                   js73228    DCOACH      0      59       -950    0.0000
Pendulum-v0                   js73228    DCOACH      0      60       -1036   0.0000
Pendulum-v0                   js73228    DCOACH      0      61       -929    0.0000
Pendulum-v0                   js73228    DCOACH      0      62       -916    0.0000
Pendulum-v0                   js73228    DCOACH      0      63       -964    0.0000
Pendulum-v0                   js73228    DCOACH      0      64       -1139   0.0000
Pendulum-v0                   js73228    DCOACH      0      65       -1312   0.0000
Pendulum-v0                   js73228    DCOACH      0      66       -959    0.0000
Pendulum-v0                   js73228    DCOACH      0      67       -916    0.0000
Pendulum-v0                   js73228    DCOACH      0      68       -1322   0.0000
Pendulum-v0                   js73228    DCOACH      0      69       -905    0.0000
Pendulum-v0                   js73228    DCOACH      0      70       -896    0.0000
Pendulum-v0                   js73228    DCOACH      0      71       -965    0.0000
Pendulum-v0                   js73228    DCOACH      0      72       -895    0.0000
Pendulum-v0                   js73228    DCOACH      0      73       -907    0.0000
Pendulum-v0                   js73228    DCOACH      0      74       -941    0.0000
Pendulum-v0                   js73228    DCOACH      0      75       -1189   0.0000
Pendulum-v0                   js73228    DCOACH      0      76       -904    0.0000
Pendulum-v0                   js73228    DCOACH      0      77       -925    0.0000
Pendulum-v0                   js73228    DCOACH      0      78       -924    0.0000
Pendulum-v0                   js73228    DCOACH      0      79       -1473   0.0000
Pendulum-v0                   js73228    DCOACH      0      80       -1040   0.0000
Pendulum-v0                   js73228    DCOACH      0      81       -905    0.0000
Pendulum-v0                   js73228    DCOACH      0      82       -978    0.0000
Pendulum-v0                   js73228    DCOACH      0      83       -1327   0.0000
Pendulum-v0                   js73228    DCOACH      0      84       -908    0.0000
Pendulum-v0                   js73228    DCOACH      0      85       -1339   0.0000
Pendulum-v0                   js73228    DCOACH      0      86       -1473   0.0000
Pendulum-v0                   js73228    DCOACH      0      87       -1188   0.0000
Pendulum-v0                   js73228    DCOACH      0      88       -1443   0.0000
Pendulum-v0                   js73228    DCOACH      0      89       -880    0.0000
Pendulum-v0                   js73228    DCOACH      0      90       -926    0.0000
Pendulum-v0                   js73228    DCOACH      0      91       -909    0.0000
Pendulum-v0                   js73228    DCOACH      0      92       -946    0.0000
Pendulum-v0                   js73228    DCOACH      0      93       -1177   0.0000
Pendulum-v0                   js73228    DCOACH      0      94       -925    0.0000
Pendulum-v0                   js73228    DCOACH      0      95       -961    0.0000
Pendulum-v0                   js73228    DCOACH      0      96       -1159   0.0000
Pendulum-v0                   js73228    DCOACH      0      97       -911    0.0000
Pendulum-v0                   js73228    DCOACH      0      98       -1165   0.0000
Pendulum-v0                   js73228    DCOACH      0      99       -1369   0.0000
Pendulum-v0                   js73228    DCOACH      0      100      -908    0.0000
Pendulum-v0                   js73228    DCOACH      0      101      -1246   0.0000
Pendulum-v0                   js73228    DCOACH      0      102      -904    0.0000
Pendulum-v0                   js73228    DCOACH      0      103      -1495   0.0000
Pendulum-v0                   js73228    DCOACH      0      104      -1412   0.0000
Pendulum-v0                   js73228    DCOACH      0      105      -914    0.0000
Pendulum-v0                   js73228    DCOACH      0      106      -949    0.0000
Pendulum-v0                   js73228    DCOACH      0      107      -1192   0.0000
Pendulum-v0                   js73228    DCOACH      0      108      -1045   0.0000
Pendulum-v0                   js73228    DCOACH      0      109      -1512   0.0000
