Environment                   Seed       Algorithm   Error  Episode  Reward  Feedback
Pendulum-v0                   dw88236    DCOACH      0      0        -1133   0.1350
Pendulum-v0                   dw88236    DCOACH      0      1        -1016   0.1550
Pendulum-v0                   dw88236    DCOACH      0      2        -1387   0.2400
Pendulum-v0                   dw88236    DCOACH      0      3        -1111   0.1800
Pendulum-v0                   dw88236    DCOACH      0      4        -1062   0.2950
Pendulum-v0                   dw88236    DCOACH      0      5        -922    0.3100
Pendulum-v0                   dw88236    DCOACH      0      6        -813    0.3250
Pendulum-v0                   dw88236    DCOACH      0      7        -936    0.3700
Pendulum-v0                   dw88236    DCOACH      0      8        -1220   0.3050
Pendulum-v0                   dw88236    DCOACH      0      9        -1206   0.2100
Pendulum-v0                   dw88236    DCOACH      0      10       -1158   0.2750
Pendulum-v0                   dw88236    DCOACH      0      11       -1239   0.3350
Pendulum-v0                   dw88236    DCOACH      0      12       -801    0.2550
Pendulum-v0                   dw88236    DCOACH      0      13       -926    0.3400
Pendulum-v0                   dw88236    DCOACH      0      14       -994    0.3050
Pendulum-v0                   dw88236    DCOACH      0      15       -1071   0.3350
Pendulum-v0                   dw88236    DCOACH      0      16       -1080   0.3350
Pendulum-v0                   dw88236    DCOACH      0      17       -1065   0.2850
Pendulum-v0                   dw88236    DCOACH      0      18       -807    0.2600
Pendulum-v0                   dw88236    DCOACH      0      19       -1075   0.2550
Pendulum-v0                   dw88236    DCOACH      0      20       -1002   0.2200
Pendulum-v0                   dw88236    DCOACH      0      21       -941    0.2900
Pendulum-v0                   dw88236    DCOACH      0      22       -810    0.2750
Pendulum-v0                   dw88236    DCOACH      0      23       -1323   0.2000
Pendulum-v0                   dw88236    DCOACH      0      24       -1232   0.2700
Pendulum-v0                   dw88236    DCOACH      0      25       -1213   0.5400
Pendulum-v0                   dw88236    DCOACH      0      26       -898    0.6800
Pendulum-v0                   dw88236    DCOACH      0      27       -895    0.5800
Pendulum-v0                   dw88236    DCOACH      0      28       -914    0.6050
Pendulum-v0                   dw88236    DCOACH      0      29       -957    0.6300
Pendulum-v0                   dw88236    DCOACH      0      30       -1072   0.5800
Pendulum-v0                   dw88236    DCOACH      0      31       -921    0.6200
Pendulum-v0                   dw88236    DCOACH      0      32       -909    0.6450
Pendulum-v0                   dw88236    DCOACH      0      33       -1170   0.0650
Pendulum-v0                   dw88236    DCOACH      0      34       -996    0.3200
Pendulum-v0                   dw88236    DCOACH      0      35       -825    0.3850
Pendulum-v0                   dw88236    DCOACH      0      36       -929    0.7300
Pendulum-v0                   dw88236    DCOACH      0      37       -1206   0.5950
Pendulum-v0                   dw88236    DCOACH      0      38       -920    0.7200
Pendulum-v0                   dw88236    DCOACH      0      39       -1098   0.1200
Pendulum-v0                   dw88236    DCOACH      0      40       -1394   0.0000
Pendulum-v0                   dw88236    DCOACH      0      41       -1458   0.0000
Pendulum-v0                   dw88236    DCOACH      0      42       -1277   0.0000
Pendulum-v0                   dw88236    DCOACH      0      43       -1518   0.0000
Pendulum-v0                   dw88236    DCOACH      0      44       -1429   0.0000
