Environment              Seed     Algorithm Error   Episode Reward  Gain    Feedback
MountainCarContinuous-v0 js34100  PPMP      0       0       -37     0.5195  0.5656
MountainCarContinuous-v0 js34100  PPMP      0       1       92      0.5441  0.4660
MountainCarContinuous-v0 js34100  PPMP      0       2       82      0.9455  0.5486
MountainCarContinuous-v0 js34100  PPMP      0       3       91      1.4718  0.6250
MountainCarContinuous-v0 js34100  PPMP      0       4       82      1.4514  0.5726
MountainCarContinuous-v0 js34100  PPMP      0       5       -97     0.6073  0.3574
MountainCarContinuous-v0 js34100  PPMP      0       6       88      0.5000  0.4786
MountainCarContinuous-v0 js34100  PPMP      0       7       84      0.5000  0.6802
MountainCarContinuous-v0 js34100  PPMP      0       8       84      0.5000  0.5348
MountainCarContinuous-v0 js34100  PPMP      0       9       90      0.5000  0.6087
MountainCarContinuous-v0 js34100  PPMP      0       10      90      0.5000  0.2741
MountainCarContinuous-v0 js34100  PPMP      0       11      82      0.5000  0.1898
MountainCarContinuous-v0 js34100  PPMP      0       12      92      0.5000  0.2534
MountainCarContinuous-v0 js34100  PPMP      0       13      91      0.5000  0.1654
MountainCarContinuous-v0 js34100  PPMP      0       14      95      0.5000  0.1855
MountainCarContinuous-v0 js34100  PPMP      0       15      93      0.5000  0.6871
MountainCarContinuous-v0 js34100  PPMP      0       16      94      0.5000  0.3046
MountainCarContinuous-v0 js34100  PPMP      0       17      93      0.5000  0.2925
MountainCarContinuous-v0 js34100  PPMP      0       18      95      0.5000  0.4208
MountainCarContinuous-v0 js34100  PPMP      0       19      95      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       20      92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       21      94      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       22      92      0.5000  0.1869
MountainCarContinuous-v0 js34100  PPMP      0       23      94      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       24      94      0.5000  0.2262
MountainCarContinuous-v0 js34100  PPMP      0       25      94      0.5000  0.1815
MountainCarContinuous-v0 js34100  PPMP      0       26      94      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       27      95      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       28      94      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       29      94      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       30      95      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       31      94      0.5000  0.2299
MountainCarContinuous-v0 js34100  PPMP      0       32      95      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       33      95      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       34      87      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       35      93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       36      90      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       37      94      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       38      95      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       39      90      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       40      90      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       41      90      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       42      90      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       43      93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       44      93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       45      92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       46      90      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       47      92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       48      86      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       49      90      0.5000  0.0211
MountainCarContinuous-v0 js34100  PPMP      0       50      93      0.5000  0.0504
MountainCarContinuous-v0 js34100  PPMP      0       51      83      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       52      90      0.5000  0.1696
MountainCarContinuous-v0 js34100  PPMP      0       53      94      0.5000  0.3786
MountainCarContinuous-v0 js34100  PPMP      0       54      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       55      92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       56      92      0.5000  0.3110
MountainCarContinuous-v0 js34100  PPMP      0       57      92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       58      93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       59      92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       60      93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       61      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       62      87      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       63      93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       64      85      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       65      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       66      89      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       67      87      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       68      78      0.5000  0.1928
MountainCarContinuous-v0 js34100  PPMP      0       69      87      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       70      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       71      84      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       72      91      0.5000  0.2935
MountainCarContinuous-v0 js34100  PPMP      0       73      92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       74      88      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       75      77      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       76      89      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       77      88      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       78      75      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       79      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       80      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       81      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       82      80      0.5000  0.0895
MountainCarContinuous-v0 js34100  PPMP      0       83      -25     0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       84      89      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       85      -31     0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       86      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       87      82      0.5000  0.0739
MountainCarContinuous-v0 js34100  PPMP      0       88      87      0.5000  0.1025
MountainCarContinuous-v0 js34100  PPMP      0       89      91      0.5000  0.1635
MountainCarContinuous-v0 js34100  PPMP      0       90      93      0.5000  0.4141
MountainCarContinuous-v0 js34100  PPMP      0       91      91      0.5000  0.0480
MountainCarContinuous-v0 js34100  PPMP      0       92      93      0.5000  0.2033
MountainCarContinuous-v0 js34100  PPMP      0       93      88      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       94      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       95      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       96      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       97      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       98      91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       99      92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       100     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       101     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       102     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       103     93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       104     90      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       105     90      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       106     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       107     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       108     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       109     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       110     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       111     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       112     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       113     93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       114     89      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       115     93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       116     93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       117     92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       118     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       119     92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       120     92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       121     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       122     92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       123     91      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       124     93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       125     93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       126     95      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       127     92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       128     93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       129     92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       130     93      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       131     92      0.5000  0.0000
MountainCarContinuous-v0 js34100  PPMP      0       132     92      0.5000  0.0000
